monkey_strategy,wolf_strategy,monkey_wins,wolf_wins,draws
random,random,540,460,0
random,random_spot_win,379,621,0
random,metric_count,81,919,0
random,metric_position,124,876,0
random,metric_strength,44,956,0
random_spot_win,random,706,294,0
random_spot_win,random_spot_win,562,438,0
random_spot_win,metric_count,164,836,0
random_spot_win,metric_position,300,700,0
random_spot_win,metric_strength,110,890,0
metric_count,random,939,61,0
metric_count,random_spot_win,883,117,0
metric_count,metric_count,520,480,0
metric_count,metric_position,732,268,0
metric_count,metric_strength,451,549,0
metric_position,random,931,69,0
metric_position,random_spot_win,796,204,0
metric_position,metric_count,309,691,0
metric_position,metric_position,544,456,0
metric_position,metric_strength,233,767,0
metric_strength,random,963,37,0
metric_strength,random_spot_win,911,89,0
metric_strength,metric_count,579,421,0
metric_strength,metric_position,802,198,0
metric_strength,metric_strength,504,496,0
